序号,书名,评分,评价人数,作者,出版社
1,用所有的存在与世界相会,9.3,35,作者/译者： 萧秋水 ,出版信息：  北京联合出版有限责任公司 / 2015-12-1 / 39.80
2,成功，动机与目标,9.1,216,作者/译者： 海蒂?格兰特?霍尔沃森 (Heidi Grant Halvorson) / 汤珑 ,出版信息：  译林出版社 / 2013-3-1 / 48.80元
3,打破自我的标签,9.1,49,作者/译者： 陈虎平 ,出版信息：  电子工业出版社 / 2016-1-1 / 55.00元
4,The Art of Learning,9.1,95,作者/译者： Josh Waitzkin ,出版信息：  Free Press / 2007-05-08 / GBP 16.99
5,Beyond Feelings,9,316,作者/译者： Vincent Ruggiero ,出版信息：  McGraw-Hill Higher Education / 2003-08-10 / GBP 38.99
6,权力与领导（第5版）,9,88,作者/译者： [美]詹姆斯・克劳森（James G. Clawson） / 马昕 ,出版信息：  世界图书出版公司・后浪出版公司 / 2015-2 / 52.00元
7,The Willpower Instinct,9,369,作者/译者： Kelly McGonigal ,出版信息：  Avery / 2011-12-29 / USD 26.00
8,优势谈判,9,138,作者/译者： [美]罗杰?道森 (Roger Dawson) / 刘祥亚 ,出版信息：  海天出版社 / 2012-1-1 / 68.00元
9,Asking the Right Questions,9,553,作者/译者： M. Neil Browne / Stuart M. Keeley ,出版信息：  Prentice Hall / 2006-2-10 / USD 48.20
10,The Road Less Traveled (少有人走的路),9,442,作者/译者： Peck ,出版信息：  Holiday House; Intl edition / 1997年 / 64.0
11,德鲁克管理思想精要,9,142,作者/译者： 德鲁克 / 李维安 ,出版信息：  机械工业出版社 / 2007-6 / 45.00元
12,卓有成效的管理者 （中英文双语典藏版）,9,1060,作者/译者： [美] 彼德・德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-8 / 38.00元
13,作文三书（全三册）,9,95,作者/译者： 王鼎钧 ,出版信息：  国际文化 / 2007-12 / 54.00元
14,沟通圣经,8.9,37,作者/译者： [英]尼基・斯坦顿 / 罗慕谦 ,出版信息：  北京联合出版公司・后浪出版公司 / 2016-1 / 45.00元
15,松浦太郎f：假如我F在25q，最想做的50件事,8.9,36,作者/译者： 松浦太郎 / 蠲骶_ ,出版信息：  知文化 / 2015-2-6 / NT$300
16,影响力,8.9,4469,作者/译者： [美] 罗伯特・B. 西奥迪尼 / 张力慧 ,出版信息：  中国社会科学出版社 / 2001-12 / 38.00元
17,The Hard Thing About Hard Things,8.9,301,作者/译者： Ben Horowitz ,出版信息：  HarperBusiness / 2014-3-4 / USD 29.99
18,卓有成效的管理者,8.9,639,作者/译者： [美] 彼得・德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2009-9 / 30.00元
19,穷查理宝典,8.9,719,作者/译者： [美] 查理・芒格 / [美] 彼得・考夫曼（编） / 李继宏 ,出版信息：  上海人民出版社 / 2010-05 / 398.00
20,Thinking Fast and Slow,8.9,261,作者/译者： Daniel Kahneman ,出版信息：  LANE ALLEN / 2011-11 / 288.00元
21,The Defining Decade,8.9,213,"作者/译者： Jay, Meg ",出版信息：  Twelve / 2012-4 / $ 25.98
22,一新世界,8.9,135,"作者/译者： 艾克哈特．托勒 / Tolle, Eckhart / 德芬 ",出版信息：  方智出版社股份有限公司 / 2008.7.25 / NT$290
23,智慧书,8.9,872,作者/译者： 巴尔塔沙・葛拉西安 / 英译：约瑟夫・雅各布斯 / 汉译：王涌芬 ,出版信息：  中央编译出版社 / 2008-10 / 28.00元
24,创能量,8.9,26,作者/译者： 林正刚 ,出版信息：  浙江人民出版社 / 2015-4 / 42.90
25,囚徒健身,8.8,2743,作者/译者： 保罗・威德 / 谷红岩 ,出版信息：  北京科学技术出版社 / 2013-10-1 / 79.00元
26,卓有成效的管理者,8.8,7324,作者/译者： [美] 彼得・德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-6 / 28.00元
27,把时间当作朋友（第3版）,8.8,957,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2013-10 / 59.00元
28,第五项修炼,8.8,1030,作者/译者： 彼得・圣吉 ,出版信息：  中信出版社 / 2009-10-1 / 58.00元
29,动机与人格,8.8,1004,作者/译者： 亚伯拉罕・马斯洛 (Abraham H.Maslow) ,出版信息：  中国人民大学出版社 / 2007-4-1 / 45.00元
30,人的潜能和价值,8.8,222,作者/译者： [美]马斯洛(Maslow A.H) 等著 / 林方 主编 ,出版信息：  华夏出版社 / 1987年2月一版一次 / 3.85元
31,伯恩斯新情绪疗法,8.8,406,作者/译者： [美] 戴维・伯恩斯 / 李亚萍 ,出版信息：  中国城市出版社 / 2011-1 / 49.80元
32,Beyond Feelings,8.8,62,作者/译者： Vincent Ruggiero ,出版信息：  McGraw-Hill Education / 2011-2-8 / $ 92.66
33,洛克菲勒留给儿子的38封信,8.8,2047,作者/译者： 约翰・D・洛克菲勒 (John Davison Rockefeller) / 严硕 ,出版信息：  中国妇女出版社 / 2004-7 / 29.80
34,自控力,8.8,43,作者/译者： [美] 凯利・麦格尼格尔 ,出版信息：  印刷工业出版社 / 2013-7-1 / 49.80元
35,The Power of Now,8.8,325,作者/译者： Eckhart Tolle ,出版信息：  New World Library / 2004-9 / USD 15.00
36,Make it Stick,8.8,26,"作者/译者： Brown, Peter C. ",出版信息：  The Belknap Press / 2014-4-25 / USD 31.58
37,沟通的艺术（插图修订第14版）,8.7,939,作者/译者： [美]罗纳德・B・阿德勒 / 拉塞尔・F・普罗科特 / 黄素菲 / 李恩 ,出版信息：  世界图书出版公司・后浪出版公司 / 2015-1 / 68.00元
38,被讨厌的勇气,8.7,273,作者/译者： 岸见一郎 / 古贺史健 / 渠海霞 ,出版信息：  机械工业出版社 / 2015-3-1 / 39.8
39,无器械健身,8.7,1236,作者/译者： 马克・劳伦 / 乔舒亚・克拉克 ,出版信息：  北京科学技术出版社 / 2012-9-1 / 49.00元
40,Becoming Steve Jobs,8.7,177,作者/译者： Brent Schlender / Rick Tetzeli ,出版信息：  Crown Business / 2015-3-24 / USD 30.00
41,小强升职记,8.7,463,作者/译者： 邹鑫 ,出版信息：  电子工业出版社 / 2014-4-1 / 39.00元
42,谈修养,8.7,735,作者/译者： 朱光潜 ,出版信息：  广西师范大学出版社 / 2004-11 / 16.00元
43,目标,8.7,1251,作者/译者： 艾利・高德拉特 / 杰夫・科克斯 / 齐若兰 ,出版信息：  电子工业出版社 / 2006.1 / 48.0
44,幸福超越完美,8.7,306,作者/译者： 泰勒?本-沙哈尔博士 / 倪子君 ,出版信息：  机械工业出版社 / 2011-4 / 39.00元
45,创新算法,8.7,81,作者/译者： 根里奇・斯拉维奇・阿奇舒勒 / 谭增波 / 茹海燕 ,出版信息：  华中科技大学出版社 / 2008-10 / 32.80元
46,强势,8.7,49,作者/译者： （美）曼纽尔 ? J ? 史密斯 / 欧阳瑾 / 陈 兰 ,出版信息：  江苏文艺出版社 / 2014-8 / 42.00元
47,自我导向行为,8.7,239,作者/译者： 戴维・L.华生 (David L.Watson) / 罗兰德・G.夏普 (Roland G.Tharp) / 陈侠 / 钟小族 / 陈丽 ,出版信息：  中国人民大学出版社 / 2009-7 / 48.00元
48,如何x一本,8.7,165,作者/译者： 莫提默．艾德勒（Mortimer J. Adler） / 查理．范多（Charles Van Doren） / 郝明x / 朱衣 ,出版信息：  台成 / 2003-7-1 / 新台420元
49,Willpower,8.7,323,作者/译者： Roy F. Baumeister / John Tierney ,出版信息：  Penguin Press / 2011-9 / GBP 17.85
50,不会写，怎敢拼外企――TCS三级跳 解析商务英语写作经典案例,8.7,84,作者/译者： 戴愫 ,出版信息：  上海译文出版社 / 2014-1 / 35元
51,Mastery,8.7,193,作者/译者： George Leonard ,出版信息：  Plume / 1992-2-1 / USD 15.00
52,如何阅读一本书,8.6,19913,作者/译者： [美] 莫提默・J. 艾德勒 / 查尔斯・范多伦 / 郝明义 / 朱衣 ,出版信息：  商务印书馆 / 2004-1 / 38.00元
53,把时间当作朋友,8.6,19689,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2009-6 / 32.00元
54,万万没想到,8.6,2119,作者/译者： 万维钢（同人于野） ,出版信息：  电子工业出版社 / 2014-10-1 / CNY 39.80
55,影响力,8.6,19722,作者/译者： [美] 罗伯特・西奥迪尼 / 陈叙 ,出版信息：  中国人民大学出版社 / 2006-5 / 45.00元
56,小狗钱钱,8.6,6372,作者/译者： [德] 博多・舍费尔 / 王钟欣 / 余茜 ,出版信息：  中国工人出版社 / 2002-2 / 15.80元
57,你的生命有什么可能,8.6,1270,作者/译者： 古典 ,出版信息：  湖南文艺出版社 / 2014-5-1 / 35
58,追寻生命的意义,8.6,1646,作者/译者： [奥] 维克多・弗兰克 / 何忠强 / 杨凤池 ,出版信息：  新华出版社 / 2003-1 / 12.00元
59,格鲁夫给经理人的第一课,8.6,390,作者/译者： [美] 安迪?格鲁夫 / 巫宗融 ,出版信息：  中信出版社 / 2007-1 / 28.00元
60,第2份工作,8.6,636,作者/译者： 京宝儿 ,出版信息：  人民文学出版社 / 2012-9 / 28.00元
61,改善情绪的正念疗法,8.6,304,作者/译者： 马克・威廉姆斯 / 约翰・蒂斯代尔 / 谭洁清 ,出版信息：  湛庐文化策划 中国人民大学出版社 / 2009-10 / 39.80元
62,把时间当作朋友,8.6,2514,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2010-8 / 32.00元
63,改变，从心开始,8.6,1550,作者/译者： 罗伊?马丁纳 / 胡因梦 ,出版信息：  云南人民出版社 / 2009-8-1 / 32.00元
64,伯恩斯新情绪疗法,8.6,437,作者/译者： [美] 伯恩斯 / 李安龙 ,出版信息：  北方文艺出版社 / 2007-7 / 39.0
65,个人的管理,8.6,302,作者/译者： [美] 彼得?德鲁克(Peter F.Drucker) / 沈国华 ,出版信息：  上海财经大学出版社 / 2003-8-1 / 28.00元
66,思维改变生活,8.6,300,作者/译者： [澳]埃德尔曼 / 黄志强 / 殷明 ,出版信息：  华东师范大学出版社 / 2008-1 / 38.00元
67,家庭收纳1000例,8.6,1578,作者/译者： (日)主妇之友社 / [日]近藤典子 / 刘丹云 ,出版信息：  吉林科学技术出版社 / 2006-5-1 / 29.8
68,谈判是什么,8.6,764,作者/译者： (英)盖温.肯尼迪 / 陈述 ,出版信息：  中国宇航出版社 / 2004-10-1 / 29.00
69,富爸爸穷爸爸（最新修订版）,8.6,241,作者/译者： 罗伯特・清崎 / 莎伦・莱希特 ,出版信息：  四川文艺出版社 / 2014-1-1 / CNY 28.00
70,再活一次,8.6,476,作者/译者： 纳塔莉・戈德堡 / 韩良忆 ,出版信息：  南方出版社 / 2008年3月 / 24.00元
71,The Start-up of You,8.6,170,作者/译者： Reid Hoffman / Ben Casnocha ,出版信息：  Crown Business / 2012-2-14 / USD 26.00
72,本杰明・富兰克林自传,8.6,317,作者/译者： [美] 本杰明・富兰克林 / 李自修 ,出版信息：  人民文学出版社 / 2004-7 / 11.00元
73,How To Win Friends And Influence People,8.6,409,作者/译者： Dale Carnegie ,出版信息：  Simon & Schuster (New York) / 1982-9-1 / GBP 5.50
74,沟通,8.6,38,作者/译者： 杜瓦特 / 冯海洋 / 刘芳 ,出版信息：  电子工业出版社 / 2013-4 / 92.00元
75,思想者,8.6,139,作者/译者： 查尔斯?汉迪 / 闾佳 ,出版信息：  人大出版社 / 2006-11 / 36.00元
76,项目管理,8.6,69,作者/译者： (美)哈罗德・科兹纳著 / 杨爱华等译（北京航空航天大学） ,"出版信息：  
       / 2002-9 / 108.00元"
77,超越智商,8.5,144,作者/译者： 【美】基思 E. 斯坦诺维奇（Keith E. Stanovich） / 张斌 ,出版信息：  机械工业出版社 / 2015-9-15 / 59.00元
78,非暴力沟通,8.5,2679,作者/译者： [美] 马歇尔・卢森堡 / 阮胤华 ,出版信息：  华夏出版社 / 2009-1 / 29.00元
79,柴犬绅士,8.5,127,作者/译者： [美] 大卫・冯 / [美] 叶娜・金 / 糸色空 ,出版信息：  北京联合出版公司 / 2015-10 / 68.00
80,暗时间,8.5,8329,作者/译者： 刘未鹏 ,出版信息：  电子工业出版社 / 2011-7 / 35.00元
81,学会提问,8.5,1863,作者/译者： [美] M.尼尔?布朗 / [美] 斯图尔特・基利 / 吴礼敬 ,出版信息：  机械工业出版社 / 2012-12 / 35.00元
82,情绪急救:应对各种日常心理伤害的策略和方法,8.5,109,作者/译者： 【美】盖伊?温奇博士 Guy Winch，Ph.D / 孙璐 ,出版信息：  上海社会科学院出版社 / 2015-8 / 35.00元
83,高效能人士的七个习惯,8.5,2803,作者/译者： 史蒂芬・柯维 / 高新勇 / 王亦兵 / 葛雪蕾 ,出版信息：  中国青年出版社 / 2010-10 / 49.00元
84,没事别随便思考人生,8.5,72,作者/译者： 鬼脚七 ,出版信息：  百花洲文艺出版社 / 2015-11 / 36.00
85,最简单的小户型收纳整理术,8.5,141,作者/译者： 日本主妇与生活社 / 吴宣劭 ,出版信息：  江西科学技术出版社 / 2012-10 / 42.00元
86,发展心理学,8.5,204,作者/译者： [美]David R.Shaffer / 邹泓 ,出版信息：  中国轻工业出版社 / 2005-2-1 / 75.00
87,第五项修炼,8.5,2716,作者/译者： [美] 彼得・圣吉 / 郭进隆 ,出版信息：  上海三联书店 / 2003-07 / 28.00元
88,为什么大猩猩比专家高明,8.5,544,作者/译者： （美）乔纳?莱勒 / 丁丹 ,出版信息：  东方出版社 / 2010年1月 / 29.00元
89,富兰克林自传,8.5,2009,作者/译者： 富兰克林 / 唐长孺 ,出版信息：  国际文化出版公司 / 2005年 / 28.8
90,说话就是生产力,8.5,254,作者/译者： 孙路弘 ,出版信息：  鹭江出版社 / 2010-11-1 / 32.00元
91,The Power of Habit,8.5,539,作者/译者： Charles Duhigg ,出版信息：  Random House / 2012-2-28 / GBP 17.88
92,活出最乐观的自己,8.5,511,作者/译者： 【美】马丁?塞利格曼（Martin E.P. Seligman ） / 洪兰 ,出版信息：  万卷出版公司 / 2010-8 / 45.00元
93,重塑心灵,8.5,1298,作者/译者： 李中莹 ,出版信息：  世界图书出版公司 / 2006-4 / 36.00元
94,高效演讲,8.5,168,作者/译者： 彼得?迈尔斯 (Peter Meyers) / 尚恩?尼克斯 (Shann Nix) / 马林梅 ,出版信息：  吉林出版集团有限责任公司 / 2013-4-1 / 39.80元
95,心灵的七种兵器,8.5,1732,作者/译者： 武志红 ,出版信息：  世界图书出版公司 / 2008-4 / 22.00元
96,当下的力量（珍藏版）,8.5,466,作者/译者： 埃克哈特?托利 (Eckhart Tolle) / 曹植 ,出版信息：  中信出版社 / 2013-7-1 / CNY 32.00
97,快思慢想,8.5,240,作者/译者： 康{曼 Daniel Kahneman / 洪m ,出版信息：  天下h出版股份有限公司 / 2012-10-31 / NT$500
98,Never Eat Alone,8.5,465,作者/译者： Keith Ferrazzi / Tahl Raz ,出版信息：  Crown Business / 2005-2 / USD 26.00
99,奇特的一生,8.5,954,作者/译者： (苏)格拉宁 / 侯焕闳 / 唐其慈 ,出版信息：  外国文学出版社 / 1979-8 / 0.37元
100,致青年学者,8.5,258,作者/译者： [西]圣地亚哥・拉蒙-卡哈尔 / 刘璐 ,出版信息：  新华出版社 / 2010-1 / 25.00元
101,幸福的真意,8.5,248,作者/译者： [美]米哈里・契克森米哈赖 / 张定绮 ,出版信息：  中信出版社 / 2009-1 / 25.00元
102,焦虑的意义,8.5,358,作者/译者： [美] 罗洛・梅 / 朱侃如 ,出版信息：  广西师范大学出版社 / 2010-11 / 37.00元
103,给研究生的学术建议,8.5,375,作者/译者： （英）彼得 / （英）鲁格 / 彭万华 ,出版信息：  北京大学出版社 / 2009-01-01 / 26.00元
104,销售巨人,8.5,134,作者/译者： [美] 尼尔・雷克汉姆 / 石晓军 ,出版信息：  中华工商联合出版社 / 2010-7 / 59.00元
105,理想的紊活,8.5,45,作者/译者： 多明妮克．洛_（Dominique Loreau） ,出版信息：  之 / 如果 / 2014-4
106,自我实现的人,8.5,263,作者/译者： 马斯洛 / 许金声 / 刘锋 ,出版信息：  生活.读书.新知三联书店 / 1987 / 0.85
107,我在哈佛的最后一堂课,8.5,259,作者/译者： 艾瑞克・赛诺威 / 梅里尔・麦道 / 马婧 ,出版信息：  北京联合出版公司 / 2013-4-1 / 36.00元
108,横向领导力,8.4,139,作者/译者： [美]罗杰・费希尔 / 艾伦・夏普 / 刘清山 ,出版信息：  北京联合出版公司・后浪出版公司 / 2015-11 / 32.00元
109,少有人走的路,8.4,47349,作者/译者： [美] M・斯科特・派克 / 于海生 ,出版信息：  吉林文史出版社 / 2007-1 / 26.00元
110,批判性思维,8.4,418,作者/译者： （美）理查德・保罗 / （美）琳达・埃尔德 ,出版信息：  新星出版社 / 2006 / 38.00元
111,谈话的力量,8.4,1277,作者/译者： （美）艾伦?加纳 / 林华 ,出版信息：  中国水利水电出版社 / 2004-9 / 22.00元
112,人性的弱点全集,8.4,17611,作者/译者： [美] 戴尔・卡耐基 / 袁玲 ,出版信息：  中国发展出版社 / 2008-1 / 25.00元
113,沟通的艺术,8.4,675,作者/译者： [美] 罗纳德・阿德勒 / [美] 拉塞尔・普罗克特 / 黄素非 ,出版信息：  世界图书出版公司 / 2010-12 / 32.00元
114,奇特的一生,8.4,4401,作者/译者： [苏] 格拉宁 / 侯焕闳 / 唐其慈 ,出版信息：  海燕出版社 / 2001-3 / 13.00元
115,改变,8.4,489,作者/译者： （美）瓦茨拉维克 / （美）威克兰德 / （美）菲什 / 夏林清 / 郑村棋 ,出版信息：  教育科学出版社 / 2007-11-1 / 18.0
116,小强升职记,8.4,4431,作者/译者： 邹鑫 ,出版信息：  北京出版社 / 2009-3 / 32.00
117,感谢自己的不完美,8.4,806,作者/译者： 武志红 ,出版信息：  中国华侨出版社 / 2014-4-1 / CNY 32.80
118,当下的幸福,8.4,181,作者/译者： [美] 米哈里・契克森米哈赖 / 张定绮 ,出版信息：  中信出版社 / 2011-6 / 28.00元
119,搞定,8.4,1487,作者/译者： [美]戴维・艾伦 / 张静 ,出版信息：  中信出版社 / 2010-5 / 29.00元
120,当下的力量,8.4,5414,作者/译者： [德] 埃克哈特・托利 / 曹植 ,出版信息：  中信出版社 / 2009-1 / 26.00
121,Getting Things Done,8.4,976,作者/译者： David Allen ,出版信息：  Penguin Books / 2002-12-31 / USD 16.00
122,象与骑象人,8.4,1033,作者/译者： （美）乔纳森・海特（Jonathan Haidt） / 李静瑶 ,出版信息：  中国人民大学出版社 / 2008-07-01 / 45.00
123,权力的48条法则,8.4,478,作者/译者： 罗伯特・格林 / 金马 / 卢安安　张小玲 ,出版信息：  东方出版中心 / 2007-7 / 38.00元
124,职场动物进化手册,8.4,1420,作者/译者： 雾满拦江 ,出版信息：  陕西师范大学出版社 / 2004-09 / 25.00
125,哈佛经典谈判术,8.4,142,作者/译者： 迪帕克・马尔霍特拉（Deepak Malhotra） / 马克斯・巴泽曼（Max H. Bazerman） / 吴奕俊 ,出版信息：  中国人民大学出版社 / 2009-9 / 42.00元
126,语言的魔力,8.4,365,作者/译者： 罗伯特・迪尔茨 / 谭洪岗 ,出版信息：  世界图书出版公司 / 2008-10 / 35.00元
127,说服,8.4,327,作者/译者： 杰瑞・魏斯曼 ,出版信息：  科学出版社 / 2005-5 / 28.00元
128,过犹不及-如何建立你的心理界线,8.4,186,作者/译者： [美]亨利・克劳德(Henry Cloud)  [美]约翰・汤森德(John Townsend) / 蔡岱安 ,出版信息：  海天出版社 / 2011-2 / 39.00元
129,象与骑象人,8.4,269,作者/译者： [美]乔纳森?海特（Jonathan Haidt） / 李静瑶 ,出版信息：  浙江人民出版社 / 2012-12 / 49.90元
130,怦然心拥娜松整理魔法 2,8.4,81,作者/译者： 近藤麻理惠 / 游馨 ,出版信息：  方智出版社股份有限公司 / 2013-4-25 / NT$250
131,实验心理学教程,8.4,80,作者/译者： （美）史密斯 / 郭秀艳 等 ,出版信息：  中国轻工业出版社 / 2006-1-1 / 40.00元
132,瞬变,8.4,63,作者/译者： [美] 奇普・希思 / [美] 丹・希思 / 姜奕晖 ,出版信息：  中信出版社 / 2014-4 / 46.00元
133,卡内基沟通与人际关系,8.4,356,作者/译者： (美)戴尔・卡内基|译者:詹丽茹 / 詹丽茹 ,出版信息：  中信 / 2008-12 / 28.00元
134,自控力,8.3,11191,作者/译者： [美]  凯利・麦格尼格尔 / 王岑卉 ,出版信息：  文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元
135,思考，快与慢,8.3,4234,作者/译者： [美] 丹尼尔・卡尼曼 / 胡晓姣 / 李爱民 / 何梦莹 ,出版信息：  中信出版社 / 2012-7 / 69.00元
136,这书能让你戒烟,8.3,1682,作者/译者： 亚伦?卡尔 / 严冬冬 ,出版信息：  吉林文史出版社 / 2008 / 29.00元
137,学习之道（第2版）,8.3,3835,作者/译者： [美] 乔希・维茨金 (Josh Waitzkin) / 苏鸿雁 / 谢京秀 ,出版信息：  中国青年出版社 / 2011-4 / 28.00元
138,Lean In,8.3,2079,作者/译者： Sheryl Sandberg ,出版信息：  Knopf / 2013-3-12 / USD 24.95
139,关键对话,8.3,685,作者/译者： （美）科里・帕特森（Kerry Patterson） / 约瑟夫・格雷尼（Joseph Grenny） / 罗恩・麦克米兰（Ron McMillan） / 毕崇毅 ,出版信息：  机械工业出版社 / 2012-6 / 39.00元
140,Mindset,8.3,100,作者/译者： Carol Dweck ,出版信息：  Ballantine Books / 2007-12-26 / USD 16.00
141,创造力,8.3,67,作者/译者： Mihaly Csikszentmihalyi / 黄珏苹 ,出版信息：  浙江人民出版社 / 2015-1-1 / 62.90
142,真实的幸福,8.3,1024,作者/译者： 【美】马丁?塞利格曼（Martin E.P. Seligman ） / 洪兰 ,出版信息：  万卷出版公司 / 2010.8 / 45.00元
143,拉伸,8.3,530,作者/译者： 鲍勃・安德森 / 边然 ,出版信息：  北京科学技术出版社 / 2010-10 / 32.00元
144,简单的艺术,8.3,623,作者/译者： 【法】多米尼克?洛罗（Dominique Loreau） / 多米妮克・洛罗 / 张之简 ,出版信息：  电子工业出版社 / 2012-8-15 / 29.90元
145,魏斯曼演讲圣经1,8.3,236,作者/译者： 杰瑞・魏斯曼 / 尹碧天 ,出版信息：  中国人民大学出版社 / 2012-6 / 54.99元
146,从优秀到卓越,8.3,399,作者/译者： 吉姆?柯林斯 (Jim Collins) ,出版信息：  中信出版社 / 2009-11-1 / 39.00元
147,考拉小巫的留学成长日记,8.3,605,作者/译者： 考拉小巫 ,出版信息：  中国青年出版社 / 2014-8-1 / CNY 36.00
148,时间管理,8.3,553,作者/译者： Thomas A.Limoncelli / O'Reilly Taiwan公司 ,出版信息：  东南大学出版社 / 2007 / 26.00元
149,瞬变,8.3,573,作者/译者： [美] 奇普.希思 / [美] 丹.希思 / 焦建 ,出版信息：  中信出版社 / 2010-11-1 / 33.00元
150,聪明人的圣经,8.3,297,作者/译者： 约瑟夫?基尔施纳 ,出版信息：  企业管理出版社 / 2002-10-1 / 18.00元
151,一念之转,8.3,890,作者/译者： [美] 拜伦・凯蒂 / 史蒂芬・米切尔 / 周玲莹 ,出版信息：  华文出版社 / 2009-9 / 28.00元
152,找寻逝去的自我,8.3,403,作者/译者： [美]丹尼尔・夏克 (Daniel L.Schacter) / 高申春 ,出版信息：  吉林人民出版社 / 1998 / 26.00元
153,走出抑郁,8.3,198,作者/译者： 吉尔伯特 / 宫宇轩 / 施承孙 ,出版信息：  中国轻工业出版社 / 2000-1 / 20.00元
154,管理者的10堂战略课（修订第4版）,8.3,37,作者/译者： [美]科尼利斯・德・克鲁维尔（Cornelis A. de Kluyver） / 约翰・皮尔斯二世（John A. Pearce II） / 马昕 ,出版信息：  世界图书出版公司・后浪出版公司 / 2015-6 / 36.00元
155,麦肯锡管理必读,8.3,77,作者/译者： 马克斯・兰茨伯格 / 曾献 ,出版信息：  新世界 / 2009-2 / 49.80元
156,高效能人士的七个习惯,8.3,33,作者/译者： 史蒂芬・柯维 (Stephen R.Covey) / 高新勇 / 王亦兵 ,出版信息：  中国青年出版社 / 2015-2-1 / CNY 68.00
157,成功没有逻辑,8.3,73,作者/译者： [美]文森特・罗阿 ,出版信息：  中国商业出版社 / 2003-12 / 23.80元
158,Power Sleep,8.3,1226,作者/译者： James B. Maas / Megan L. Wherry / David J. Axelrod / Barbara R. Hogan / Jennifer Bloomin ,出版信息：  William Morrow Paperbacks / 1998-12-9 / USD 13.99
159,So Good They Can't Ignore You,8.3,63,作者/译者： ,"出版信息： Newport, Cal / 2012-9 / $ 29.38"
160,这书能让你永久戒烟,8.3,100,作者/译者： 亚伦・卡尔 / 聂传炎 ,出版信息：  吉林文史出版社 / 2012-1-1 / 39.80元
